variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,13,0,13000042,200.18880900011027,5.949621200561523,6.041015625,0.0002864732814487,0.0106751127168536
baseline,13,8,13000050,198.74671900015528,5.949621200561523,6.041015625,0.0001023715449264,0.0055091204121708
baseline,13,16,13000058,199.16033099980268,5.949621200561523,6.041015625,0.0001243304432136,0.0055868434719741
baseline,13,24,13000066,198.07976699985372,5.949621200561523,6.041015625,0.0002780141367111,0.0100738490000367
baseline,13,32,13000074,198.598316000016,5.949621200561523,6.041015625,0.0009794676443561,0.0169847067445516
baseline,13,40,13000082,195.90550399993845,5.949621200561523,6.041015625,0.0001723951718304,0.0080370875075459
baseline,13,48,13000090,199.3678750000072,5.949621200561523,6.041015625,0.0004758280119858,0.0139765059575438
baseline,13,56,13000098,197.05865000014452,5.949621200561523,6.041015625,0.0005547058535739,0.0159193612635135
baseline,2,0,2000042,201.5097490000244,5.951632499694824,6.041015625,0.0006244895630516,0.0151272574439644
baseline,2,8,2000050,196.52530400003343,5.951632499694824,6.041015625,0.0001758416183292,0.0082483142614364
baseline,2,16,2000058,198.45111099994028,5.951632499694824,6.041015625,0.0001348665682598,0.0067439130507409
baseline,2,24,2000066,199.59274200004984,5.951632499694824,6.041015625,0.0005963022122159,0.0132906576618552
baseline,2,32,2000074,197.3424489999616,5.951632499694824,6.041015625,0.0005617812275886,0.0131492745131254
baseline,2,40,2000082,197.1307549999892,5.951632499694824,6.041015625,0.0002407511638011,0.0098988581448793
baseline,2,48,2000090,200.0290729999961,5.951632499694824,6.041015625,0.0002035429643001,0.00933438539505
baseline,2,56,2000098,198.81714000007375,5.951632499694824,6.041015625,0.0005029122112318,0.0130766630172729
baseline,4,0,4000042,201.1096789999556,5.949621200561523,6.041015625,0.0003242120728828,0.0108690308406949
baseline,4,8,4000050,198.5019609999199,5.949621200561523,6.041015625,0.0006542430492118,0.0151793882250785
baseline,4,16,4000058,195.91974899981324,5.949621200561523,6.041015625,0.0001839629694586,0.0084381746128201
baseline,4,24,4000066,197.4422220000633,5.949621200561523,6.041015625,0.0002674316347111,0.0098509667441248
baseline,4,32,4000074,196.8917430001511,5.949621200561523,6.041015625,0.0001832378475228,0.0085834460332989
baseline,4,40,4000082,200.4876200001036,5.949621200561523,6.041015625,0.0003334807988721,0.0104689691215753
baseline,4,48,4000090,196.9331020000027,5.949621200561523,6.041015625,0.0003652466984931,0.0125563498586416
baseline,4,56,4000098,199.94162900002263,5.949621200561523,6.041015625,0.0010825756471604,0.0190086308866739
baseline,8,0,8000042,205.56987600002685,5.948795795440674,6.041015625,0.0009295289055444,0.0180312823504209
baseline,8,8,8000050,192.51545499992065,5.948795795440674,6.041015625,0.000151352272951,0.0069963941350579
baseline,8,16,8000058,199.118967000004,5.948795795440674,6.041015625,0.0002890003670472,0.0102905416861176
baseline,8,24,8000066,197.3884829999406,5.948795795440674,6.041015625,0.0004160513053648,0.0122149316594004
baseline,8,32,8000074,196.93071099982265,5.948795795440674,6.041015625,0.0005192373646423,0.0148864733055233
baseline,8,40,8000082,198.921091000102,5.948795795440674,6.041015625,0.0002864182461053,0.0102520957589149
baseline,8,48,8000090,199.24522700011948,5.948795795440674,6.041015625,0.0003146525123156,0.0110988104715943
baseline,8,56,8000098,198.23575100008384,5.948795795440674,6.041015625,0.0001828616223065,0.0090721296146512
baseline,12,0,12000042,198.12083700003316,5.951632499694824,6.041015625,0.0002088484907289,0.0086166560649871
baseline,12,8,12000050,197.99033399999644,5.951632499694824,6.041015625,0.0001175305224023,0.0062360293231904
baseline,12,16,12000058,195.8970500002124,5.951632499694824,6.041015625,0.0001144190828199,0.0058598280884325
baseline,12,24,12000066,196.68039699990916,5.951632499694824,6.041015625,0.0001607586018508,0.008230603300035
baseline,12,32,12000074,196.08751300006588,5.951632499694824,6.041015625,0.0005789570859633,0.0143009889870882
baseline,12,40,12000082,195.60499500016704,5.951632499694824,6.041015625,0.0006559579633176,0.0157247353345155
baseline,12,48,12000090,198.09008800007177,5.951632499694824,6.041015625,0.0003342349373269,0.0107925534248352
