variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps
p25,6.129619797216067,0.7836956818358443,libero_sim/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,20,20,364,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.log,142.35,0.95,cka,98,98,1.0,400.0,2155.410608000011,529.8703878061181,510.7839234999574,542.5820369999769,646.081336740096,0.95,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/00_pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,464.4660018380001,23.223300091900008,3,19,0.95,0,black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2847
p25,7.102209893704452,0.9181209108864212,libero_sim/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,20,20,295,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.log,114.1,1.0,cka,64,64,1.0,400.0,563.5212130000582,522.7768837968689,524.8680135000541,544.7425222499646,555.1964818300826,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/01_pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,321.308442605,16.06542213025,3,20,1.0,1,black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2282
p25,7.343016445090264,0.9601509062664348,libero_sim/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,20,20,247,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.log,94.45,1.0,cka,52,52,1.0,400.0,523.6383429999023,504.24902938460025,506.8186285000138,522.8804828999614,523.5748877799028,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/02_pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,257.25122831,12.8625614155,3,20,1.0,2,black_bowl_from_table_center_and_place_it_on_the_plate,1889
p25,6.087326225745256,0.7860299642971582,libero_sim/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,20,20,223,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.log,86.35,1.0,cka,55,55,1.0,400.0,544.3652950000342,503.3056315090851,503.6339010000575,519.7410169001159,531.7443993400184,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/03_pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,283.7041972049999,14.185209860249994,3,20,1.0,3,black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1727
p25,7.066031957953012,0.901252378033252,libero_sim/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,20,20,338,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.log,132.5,1.0,cka,69,69,1.0,400.0,587.3611140000321,525.8284301884145,525.5681700000423,546.8282096001531,562.536920440052,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/04_pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,375.03368450200014,18.751684225100007,3,20,1.0,4,black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2650
p25,4.916250216721584,0.6325649263050345,libero_sim/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,20,285,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.log,110.75,1.0,cka,83,83,1.0,400.0,542.9466489999868,506.4479433855253,506.831850999788,522.4319358999765,532.3982624802737,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/05_pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,450.54663663500014,22.527331831750008,3,20,1.0,5,black_bowl_on_the_ramekin_and_place_it_on_the_plate,2215
p25,7.107972160372331,0.9149874243356716,libero_sim/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,20,20,272,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.log,105.65,1.0,cka,56,56,1.0,400.0,533.3526469999015,508.10308769640807,507.0220264999534,526.0074734997033,532.7513072499869,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/06_pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,297.271845236,14.8635922618,3,20,1.0,6,black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2113
p25,5.757466496936391,0.7471712163992973,libero_sim/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,20,20,299,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.log,115.2,1.0,cka,75,75,1.0,400.0,634.7700699998313,508.0514593599765,506.553165999776,527.4015043999498,558.2625037798431,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/07_pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,400.176015132,20.0088007566,3,20,1.0,7,black_bowl_on_the_stove_and_place_it_on_the_plate,2304
p25,4.910142041809758,0.6328288656369719,libero_sim/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,20,249,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.log,96.6,1.0,cka,77,77,1.0,400.0,525.8579979999922,501.5929088441084,500.3509359999043,518.6308475999795,524.6405068801687,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/08_pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,393.4713056260002,19.67356528130001,3,20,1.0,8,black_bowl_next_to_the_plate_and_place_it_on_the_plate,1932
p25,6.675624476802243,0.864489226826273,libero_sim/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,20,20,313,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/logs/success_rate/cka_task_09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.log,120.85,1.0,cka,68,68,1.0,400.0,632.6979929999652,506.7650623235589,501.7280650004068,547.068468299949,596.1349446197618,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_spatial_eval/rollouts/videos/cka/09_pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,362.0635055790003,18.10317527895001,3,20,1.0,9,black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,2417
