variant,display_name,reference_id,role,step,parameter_count,trainable_parameter_count,model_load_seconds,latency_mean_ms,latency_median_ms,latency_p95_ms,peak_allocated_gib,peak_reserved_gib,mse,mae,successes,episodes_requested,episodes_returned,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_deadline_ms,policy_rpc_deadline_miss_rate,language_kept,language_pruned,action_dit_kept,action_dit_pruned,vlsa_kept,vlsa_pruned,parameter_count_change_percent_vs_baseline,latency_mean_ms_change_percent_vs_baseline,latency_p95_ms_change_percent_vs_baseline,peak_allocated_gib_change_percent_vs_baseline,mse_change_percent_vs_baseline,mae_change_percent_vs_baseline,success_rate_exact_requested_change_percent_vs_baseline,policy_rpc_weighted_mean_ms_change_percent_vs_baseline,parameter_reduction_percent_vs_baseline,latency_speedup_vs_baseline,success_rate_delta_points_vs_baseline,mse_ratio_vs_baseline,mae_ratio_vs_baseline
baseline,Baseline,gr00t-n1.7-libero-spatial-baseline-no-pruning,immutable no-pruning baseline metric reference for paired LIBERO Spatial CKA comparisons,,3144016000,1620515968,69.19670670400001,197.59351851250813,197.0947025000669,201.12968249995905,5.951632499694824,6.041015625,0.0004790209350176155,0.010883345268666744,198,200,200,0.99,0.99,0.99,523.7241704724047,561.0047102501085,400.0,1.0,16,,32,,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
p25,P25,gr00t-n1.7-libero-spatial-cka-p25-lora-r16-step3000-seed42,immutable CKA P25 candidate metric reference for future paired comparisons,3000.0,2675149952,1151556736,54.46854808399985,168.2975987500015,167.26528100002724,172.8383754000447,5.065482139587402,5.1796875,0.002990193199366331,0.02673017419874668,199,200,200,0.995,0.9949999999999999,0.995,512.547244469143,547.068468299949,400.0,1.0,12,4.0,24,8.0,4,,-14.912966346227241,-14.826356645221706,-14.066201839661385,-14.889198218352028,524.2301704948177,145.60623171354408,0.5050505050504972,-2.1341245322284763,14.912966346227241,1.1740721197455966,0.5000000000000004,6.242301704948177,2.4560623171354408
p37,P37,gr00t-n1.7-libero-spatial-cka-p37-lora-r16-step3000-seed42,immutable CKA P37 candidate metric reference for future paired comparisons,3000.0,2440716928,1017795712,20.987423210999623,149.6435760248687,148.84656599861046,154.27635730093243,4.626923561096191,4.720703125,0.007806838490068912,0.04352221265435219,191,200,200,0.955,0.9550000000000001,0.955,440.80117685272825,471.09498899953905,400.0,1.0,10,6.0,20,12.0,4,,-22.36944951934087,-24.26696120834757,-23.29508236509853,-22.25790887906064,1529.7489147905037,299.89738063032013,-3.535353535353536,-15.83333332599086,22.36944951934087,1.3204276706116058,-3.500000000000003,16.297489147905036,3.9989738063032014
p50,P50,gr00t-n1.7-libero-spatial-cka-p50-lora-r16-step3000-seed42,immutable CKA P50 candidate metric reference for future paired comparisons,3000.0,2204711040,882461824,15.276815206998435,127.05601252505404,125.95284950020869,133.10228604905203,4.1785993576049805,4.30078125,0.011685336008667946,0.05353039130568504,174,200,200,0.87,0.8699999999999999,0.87,422.8940700933415,451.89440740105056,400.0,0.9951298701298701,8,8.0,16,16.0,4,,-29.87595991877904,-35.69828935607971,-33.822653924251526,-29.79070267159065,2339.4207339264262,391.85604227589425,-12.121212121212121,-19.252519945396717,29.87595991877904,1.5551685794762753,-12.0,24.394207339264263,4.918560422758943
