variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,18,0,18000042,260.39816399998017,5.951632499694824,6.041015625,0.0006083329790271,0.0137416189536452
baseline,18,8,18000050,259.9357440000176,5.951632499694824,6.041015625,0.0008127763867378,0.0172981657087802
baseline,18,16,18000058,263.56704199997694,5.951632499694824,6.041015625,0.0002953071671072,0.0106460517272353
baseline,18,24,18000066,258.0295879999994,5.951632499694824,6.041015625,0.0003459422732703,0.0125614022836089
baseline,18,32,18000074,261.1740559999589,5.951632499694824,6.041015625,0.0002213076513726,0.0098390327766537
baseline,18,40,18000082,259.13277400002244,5.951632499694824,6.041015625,0.0214128065854311,0.0487913005053997
baseline,18,48,18000090,257.9512199999954,5.951632499694824,6.041015625,0.000240247536567,0.0091816913336515
baseline,18,56,18000098,266.6091220000908,5.951632499694824,6.041015625,0.0002649313828442,0.0098390476778149
baseline,4,0,4000042,258.0808899999738,5.950446605682373,6.041015625,0.0052504143677651,0.0357730388641357
baseline,4,8,4000050,266.68910199998663,5.950446605682373,6.041015625,0.002522112103179,0.0296087358146905
baseline,4,16,4000058,349.0633459999799,5.950446605682373,6.041015625,0.0006183620425872,0.0142056960612535
baseline,4,24,4000066,378.7632260000464,5.950446605682373,6.041015625,0.0002070903137791,0.0095858527347445
baseline,4,32,4000074,297.1083620000172,5.950446605682373,6.041015625,0.0001511278824182,0.0064780660904943
baseline,4,40,4000082,279.78242699998646,5.950446605682373,6.041015625,0.0001232764916494,0.0067413295619189
baseline,4,48,4000090,268.698717999996,5.950446605682373,6.041015625,0.000242670692387,0.0092006372287869
baseline,4,56,4000098,263.20131299996774,5.950446605682373,6.041015625,0.0001805963547667,0.0083864135667681
baseline,3,0,3000042,255.70603000005576,5.947970390319824,6.041015625,0.0005151951336301,0.0125193605199456
baseline,3,8,3000050,263.7938469999881,5.947970390319824,6.041015625,0.0003259268996771,0.0109782684594392
baseline,3,16,3000058,265.06145899998046,5.947970390319824,6.041015625,0.0007147512515075,0.015900956466794
baseline,3,24,3000066,263.7730120000015,5.947970390319824,6.041015625,0.0006553013226948,0.0169967599213123
