name,Params,Latency,VRAM,MSE,MAE,SR
Baseline,1.0,1.0,1.0,1.0,1.0,1.0
P25,0.8508703365377276,0.43783444422046525,0.8511080178164797,1.3187015783465175,1.2550335781458934,0.9387755102040817
P37,0.7758052325433459,0.5958625847687454,0.776764578682108,2.208701274871162,1.775447260226187,0.8724489795918368
P50,0.7012404008122096,0.48513904686054704,0.7025852226795577,6.236388812089602,3.463593638476646,0.6479591836734694
