variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
p25,9.252366250963428,1.1703141835296005,libero_sim/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,20,20,765,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.log,302.4,0.9,cka,187,187,1.0,400.0,2345.703964999984,502.6824154224688,491.5418390000923,526.8158970998911,555.5135944399625,0.9,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/00_living_room_scene2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,653.670621758,32.6835310879,3,18,0.9,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,6048,,,
p25,9.037276771048074,1.140255998701302,libero_sim/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,20,20,686,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.log,271.85,0.95,cka,180,180,1.0,400.0,563.1479970002147,497.8601556499977,493.2394825001438,534.397080049996,548.2893854900908,0.9047619047619048,21,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/01_living_room_scene2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,601.619286179,30.08096430895,3,19,0.95,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,5437,,,
p25,8.42871571415054,1.0687310992837775,libero_sim/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,20,20,697,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it.log,274.85,0.95,cka,162,162,1.0,400.0,570.7067779999306,493.4795465555544,490.07430000006025,529.609595750253,547.5352733601267,0.95,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/02_kitchen_scene3_turn_on_the_stove_and_put_the_moka_pot_on_it,0,652.1752763320001,32.6087638166,3,19,0.95,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,5497,,,
p25,11.497649124549662,1.4534326615106126,libero_sim/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,20,20,627,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.log,248.0,1.0,cka,130,130,1.0,400.0,575.0046699999984,492.25971006154185,490.70311349987605,540.5654033000701,567.2598176799374,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/03_kitchen_scene4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,431.3925347930003,21.569626739650012,3,20,1.0,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,4960,,,
p25,11.592410681722171,1.4639900087741915,libero_sim/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,20,20,588,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on.log,232.8,1.0,cka,141,141,1.0,400.0,541.0083430001578,465.0169308652653,451.8167630003518,523.3992979997311,537.6937973997883,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/04_living_room_scene5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on,0,401.6420853120003,20.082104265600016,3,20,1.0,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,4656,,,
p25,12.869597715215802,1.623703696815424,libero_sim/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,20,20,744,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.log,294.85,0.8,cka,172,172,1.0,400.0,546.2324899999658,453.98865791280207,439.0459849998933,516.2525074000314,538.7374998298856,0.8,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/05_study_scene1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,458.2116807759999,22.910584038799996,3,16,0.8,5,STUDY_SCENE1_book_and_place_it_in_the_back_compartment_of_the_caddy,5897,,,
p25,13.872475540781537,1.743989971175426,libero_sim/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,20,20,922,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig.log,366.7,0.85,cka,210,210,1.0,400.0,570.2421879996109,461.1633342714023,449.0113994997955,519.4492866502969,558.3216738896226,0.85,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/06_living_room_scene6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_rig,0,528.6727648890001,26.43363824445,3,17,0.85,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,7334,,,
p25,10.834451381563722,1.3676505833950117,libero_sim/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,20,20,679,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.log,268.95,1.0,cka,159,159,1.0,400.0,572.9228960008186,488.334085811351,487.4262950006596,537.6690525003141,564.3623196596308,1.0,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/07_living_room_scene1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,496.4718388190004,24.823591940950017,3,20,1.0,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,5379,,,
p25,11.374341558805314,1.4304422764190188,libero_sim/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,20,1261,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_08_kitchen_scene8_put_both_moka_pots_on_the_stove.log,501.35,0.8,cka,286,286,1.0,400.0,533.850753000479,503.960986587416,505.4826805003359,527.0729157502956,533.3501515499847,0.8,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/08_kitchen_scene8_put_both_moka_pots_on_the_stove,0,881.5455337050007,44.077276685250034,3,16,0.8,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10027,,,
p25,15.417478383559269,1.9491123114487063,libero_sim/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,20,20,800,/root/gr00t-runtime/gr00t_p25_libero_10_eval/logs/success_rate/cka_task_09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.log,316.4,0.95,cka,182,182,1.0,400.0,522.5806019998345,470.4242678076898,467.0830220002245,509.1719066001588,519.8294576293938,0.95,20,/root/gr00t-runtime/gr00t_p25_libero_10_eval/rollouts/videos/cka/09_kitchen_scene6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,410.4432542449995,20.522162712249973,3,19,0.95,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,6328,,,
