variant,display_name,reference_id,role,step,parameter_count,trainable_parameter_count,model_load_seconds,latency_mean_ms,latency_median_ms,latency_p95_ms,peak_allocated_gib,peak_reserved_gib,mse,mae,successes,episodes_requested,episodes_returned,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_deadline_ms,policy_rpc_deadline_miss_rate,language_kept,language_pruned,action_dit_kept,action_dit_pruned,vlsa_kept,vlsa_pruned,parameter_count_change_percent_vs_baseline,latency_mean_ms_change_percent_vs_baseline,latency_p95_ms_change_percent_vs_baseline,peak_allocated_gib_change_percent_vs_baseline,mse_change_percent_vs_baseline,mae_change_percent_vs_baseline,success_rate_exact_requested_change_percent_vs_baseline,policy_rpc_weighted_mean_ms_change_percent_vs_baseline,parameter_reduction_percent_vs_baseline,latency_speedup_vs_baseline,success_rate_delta_points_vs_baseline,mse_ratio_vs_baseline,mae_ratio_vs_baseline
baseline,Baseline,gr00t-n1.7-libero-10-baseline-no-pruning-sr196-override,derived no-pruning baseline metric reference with an explicit user-specified success-rate override,,3144016000,1620515968,98.99401538300003,268.4576402999909,263.02651599996807,301.4929500499875,5.951632499694824,6.041015625,0.0017377404728904366,0.01540483720600605,196,200,200,0.98,0.98,0.98,537.3707000137708,609.9482952003199,400.0,1.0,16,,32,,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
p25,P25,gr00t-n1.7-libero_10-cka-p25-lora-r16-step3000-seed42,immutable CKA P25 candidate metric reference for future paired comparisons,3000.0,2675149952,1151556736,13.580446662999748,117.54000173748408,115.38606749945755,125.27048724914494,5.065482139587402,5.1796875,0.0022915611043572426,0.01933358795940876,184,200,200,0.92,0.9199999999999999,0.92,483.93963720840554,540.5654033000701,400.0,1.0,12,4.0,24,8.0,4,,-14.912966346227241,-56.21655557795348,-58.449944773708594,-14.889198218352028,31.870157834651746,25.503357814589343,-6.122448979591832,-9.94305473000222,14.912966346227241,2.2839683199900653,-5.999999999999995,1.3187015783465175,1.2550335781458934
p37,P37,gr00t-n1.7-libero_10-cka-p37-lora-r16-step3000-seed42,immutable CKA P37 candidate metric reference for future paired comparisons,3000.0,2439144064,1016222848,20.365576616999533,159.96386345007068,157.46590750040923,174.23361179917265,4.623017311096191,4.720703125,0.0038381495978683233,0.027350476011633873,171,200,200,0.855,0.8550000000000001,0.855,475.720819417459,514.0605539996614,400.0,0.9994952044422009,10,6.0,20,12.0,4,,-22.419476745665413,-40.41374152312546,-42.209722724765285,-22.323542131789196,120.87012748711618,77.5447260226187,-12.755102040816324,-11.472505031393043,22.419476745665413,1.678239287986341,-12.5,2.208701274871162,1.775447260226187
p50,P50,gr00t-n1.7-libero_10-cka-p50-lora-r16-step3000-seed42,immutable CKA P50 candidate metric reference for future paired comparisons,3000.0,2204711040,882461824,20.80526675900001,130.23928373756917,129.78491700050654,134.0542369508512,4.1815290451049805,4.28125,0.010837225243449213,0.053356096148490906,127,200,200,0.635,0.635,0.635,410.87531853031845,446.3562934507536,400.0,0.7028262676641729,8,8.0,16,16.0,4,,-29.87595991877904,-51.4860953139453,-55.53652683134879,-29.74147773204423,523.6388812089601,246.3593638476646,-35.204081632653065,-23.539687124774535,29.87595991877904,2.0612647167265625,-34.5,6.236388812089602,3.463593638476646
