variant,display_name,reference_id,role,step,parameter_count,trainable_parameter_count,model_load_seconds,latency_mean_ms,latency_median_ms,latency_p95_ms,peak_allocated_gib,peak_reserved_gib,mse,mae,successes,episodes_requested,episodes_returned,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_deadline_ms,policy_rpc_deadline_miss_rate,language_kept,language_pruned,action_dit_kept,action_dit_pruned,vlsa_kept,vlsa_pruned,parameter_count_change_percent_vs_baseline,latency_mean_ms_change_percent_vs_baseline,latency_p95_ms_change_percent_vs_baseline,peak_allocated_gib_change_percent_vs_baseline,mse_change_percent_vs_baseline,mae_change_percent_vs_baseline,success_rate_exact_requested_change_percent_vs_baseline,policy_rpc_weighted_mean_ms_change_percent_vs_baseline,parameter_reduction_percent_vs_baseline,latency_speedup_vs_baseline,success_rate_delta_points_vs_baseline,mse_ratio_vs_baseline,mae_ratio_vs_baseline
baseline,Baseline,gr00t-n1.7-libero-object-baseline-lora-r16-step3000-seed42,immutable baseline metric reference for P25/P37/P50 CKA experiments,3000,3144016000,1419078784,57.489474892001454,,,,,,,,198,200,200,0.99,0.99,0.99,530.9613760702902,551.2516526010586,400.0,1.0,16,,32,,4,,0.0,,,,,,0.0,0.0,0.0,,0.0,,
p25,P25,gr00t-n1.7-libero-object-cka-p25-lora-r16-step3000-seed42,immutable P25 CKA LoRA metric reference,3000,2675149952,1151556736,51.18188718999954,169.30980268753046,168.350380999982,174.28355679985543,5.062834739685059,5.177734375,0.001262394362129271,0.01364139374345541,199,200,200,0.995,0.9949999999999999,0.995,474.56531946423047,495.0908855007583,400.0,1.0,12,4.0,24,8.0,4,0.0,-14.912966346227241,,,,,,0.5050505050504972,-10.6214988787798,14.912966346227241,,0.5000000000000004,,
p37,P37,gr00t-n1.7-libero-object-cka-p37-lora-r16-step3000-seed42,immutable P37 CKA LoRA metric reference,3000,2439144064,1016222848,29.518708674000663,151.86175556273156,151.09180150011525,156.47058834993004,4.620476722717285,4.71875,0.0027562116738408804,0.022598037496209145,199,200,200,0.995,0.9949999999999999,0.995,447.09037075545723,465.3841547495176,400.0,1.0,10,6.0,20,12.0,4,0.0,-22.419476745665413,,,,,,0.5050505050504972,-15.796065230878465,22.419476745665413,,0.5000000000000004,,
p50,P50,gr00t-n1.7-libero-object-cka-p50-lora-r16-step3000-seed42,immutable P50 CKA LoRA metric reference,3000,2204711040,882461824,29.098670661000142,134.89647753740428,134.44082400019397,139.87336634845633,4.179095268249512,4.279296875,0.009181635454297066,0.047171659767627716,198,200,200,0.99,0.99,0.99,444.68969058951143,461.9708987993363,400.0,0.9988304093567252,8,8.0,16,16.0,4,0.0,-29.87595991877904,,,,,,0.0,-16.248203611209156,29.87595991877904,,0.0,,
p75,P75,gr00t-n1.7-libero-object-cka-p75-lora-r16-step3000-seed42,immutable P75 CKA LoRA candidate-only metric reference,3000,1731126400,610221184,40.29736718100139,104.16962193744439,102.45518050032842,113.74813940119564,3.289984703063965,3.37890625,0.013891640119254589,0.060439497232437134,192,200,200,0.96,0.96,0.96,371.11916559191656,386.0255549989233,400.0,0.007268951194184839,4,12.0,8,24.0,4,0.0,-44.939007943979924,,,,,,-3.0303030303030276,-30.10430093077302,44.939007943979924,,-3.0000000000000027,,
