variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,22,0,22000042,198.7461099997745,5.94755744934082,6.0390625,0.0003872375527862,0.0093747247010469
baseline,22,8,22000050,204.1123239978333,5.94755744934082,6.0390625,0.0005628381622955,0.012283987365663
baseline,22,16,22000058,211.8413270000019,5.94755744934082,6.0390625,0.0002828012511599,0.0082392180338501
baseline,22,24,22000066,209.6094059997995,5.94755744934082,6.0390625,4.6320063120219857e-05,0.0042196288704872
baseline,22,32,22000074,209.3940269987797,5.94755744934082,6.0390625,5.1327708206372336e-05,0.0042415494099259
baseline,22,40,22000082,201.53494300029703,5.94755744934082,6.0390625,7.5788855610881e-05,0.0049034389667212
baseline,22,48,22000090,199.3291920007323,5.94755744934082,6.0390625,0.0001034175656968,0.0060497219674289
baseline,22,56,22000098,202.33469400045576,5.94755744934082,6.0390625,0.0001803551567718,0.0074794641695916
baseline,2,0,2000042,201.10427899999195,5.94755744934082,6.0390625,6.153767753858119e-05,0.0045222230255603
baseline,2,8,2000050,198.2993229976273,5.94755744934082,6.0390625,3.826272222795524e-05,0.0037939976900815
baseline,2,16,2000058,197.7339659970312,5.94755744934082,6.0390625,0.000150567953824,0.0065431487746536
baseline,2,24,2000066,197.08601900129,5.94755744934082,6.0390625,8.621978486189619e-05,0.0059342752210795
baseline,2,32,2000074,203.55165999717428,5.94755744934082,6.0390625,5.81103922741022e-05,0.0044966754503548
baseline,2,40,2000082,203.24819400048,5.94755744934082,6.0390625,5.289290493237786e-05,0.0043997196480631
baseline,2,48,2000090,206.1155999981565,5.94755744934082,6.0390625,6.843792652944103e-05,0.0047276662662625
baseline,2,56,2000098,204.3339900010324,5.94755744934082,6.0390625,0.0002342521620448,0.0068462947383522
baseline,49,0,49000042,205.831819002924,5.94755744934082,6.0390625,0.0002063095016637,0.0078614419326186
baseline,49,8,49000050,203.24984900071289,5.94755744934082,6.0390625,0.0004044737725052,0.0103754578158259
baseline,49,16,49000058,197.90525899952627,5.94755744934082,6.0390625,7.374057167908177e-05,0.0051628756336867
baseline,49,24,49000066,196.1367030016845,5.94755744934082,6.0390625,9.08532747416757e-05,0.0053786453790962
baseline,49,32,49000074,194.8818499986373,5.94755744934082,6.0390625,9.414468513568865e-05,0.00552639644593
