variant,trajectory_id,step,seed,latency_ms,peak_allocated_gib,peak_reserved_gib,mse,mae
baseline,43,0,43000042,194.76874600002247,5.946040153503418,6.033203125,0.0006658599013462,0.0122511470690369
baseline,43,8,43000050,190.0687250000601,5.946040153503418,6.033203125,8.920357504393905e-05,0.0056749889627099
baseline,43,16,43000058,193.23548900001697,5.946040153503418,6.033203125,0.0002600051229819,0.0089531317353248
baseline,43,24,43000066,190.5515240000568,5.946040153503418,6.033203125,0.0002831115853041,0.0095288110896945
baseline,43,32,43000074,190.32157300000563,5.946040153503418,6.033203125,0.0005583161255344,0.0120314164087176
baseline,43,40,43000082,189.1075160000355,5.946040153503418,6.033203125,0.0002101294376188,0.0087151955813169
baseline,43,48,43000090,191.97248699993,5.946040153503418,6.033203125,0.0002484159194864,0.0098264086991548
baseline,43,56,43000098,192.3678050000035,5.946040153503418,6.033203125,0.0004600422398652,0.0133711146190762
baseline,2,0,2000042,191.2066859999868,5.946169853210449,6.033203125,0.0005446286522783,0.0172589402645826
baseline,2,8,2000050,193.42542100002905,5.946169853210449,6.033203125,0.0001720961154205,0.0090938657522201
baseline,2,16,2000058,189.44237499999872,5.946169853210449,6.033203125,0.0002715261944103,0.0088218227028846
baseline,2,24,2000066,191.81199899992407,5.946169853210449,6.033203125,0.0008597842534072,0.014476335607469
baseline,2,32,2000074,192.07639699993703,5.946169853210449,6.033203125,0.0009069485822692,0.01637439802289
baseline,2,40,2000082,186.4259299999276,5.946169853210449,6.033203125,0.0003371690399944,0.0116102481260895
baseline,2,48,2000090,182.46710899995836,5.946169853210449,6.033203125,0.0002259553002659,0.0089295711368322
baseline,2,56,2000098,185.9071889999768,5.946169853210449,6.033203125,9.257439523935318e-05,0.0067812693305313
baseline,4,0,4000042,195.91711400005352,5.946732044219971,6.076171875,0.0004380919563118,0.0110140610486269
baseline,4,8,4000050,228.14621899999565,5.946732044219971,6.076171875,0.0001123535257647,0.0068332250230014
baseline,4,16,4000058,188.8405720000037,5.946732044219971,6.076171875,0.0001700284192338,0.0083686327561736
baseline,4,24,4000066,186.5830190000679,5.946732044219971,6.076171875,0.0001718082494335,0.0083071244880557
baseline,4,32,4000074,190.27659900007168,5.946732044219971,6.076171875,0.00041238614358,0.0124694984406232
baseline,4,40,4000082,192.89738800000575,5.946732044219971,6.076171875,0.0003088072990067,0.0104127218946814
baseline,4,48,4000090,193.65364399993723,5.946732044219971,6.076171875,0.0002068913163384,0.0092271473258733
baseline,4,56,4000098,193.7811770000053,5.946732044219971,6.076171875,0.001238833530806,0.0152513599023222
baseline,12,0,12000042,189.4220249999989,5.946169853210449,6.076171875,0.0001423736393917,0.0077177612110972
baseline,12,8,12000050,189.25668099996076,5.946169853210449,6.076171875,0.0003670065489131,0.0110150808468461
baseline,12,16,12000058,188.9692390000164,5.946169853210449,6.076171875,0.0004780169401783,0.0117878718301653
baseline,12,24,12000066,199.7575269999743,5.946169853210449,6.076171875,0.0004722265875898,0.0126454560086131
baseline,12,32,12000074,196.12605999998323,5.946169853210449,6.076171875,0.000170050188899,0.0086532561108469
baseline,12,40,12000082,189.4259379999994,5.946169853210449,6.076171875,0.0003805572923738,0.0106656979769468
baseline,12,48,12000090,191.8786400000272,5.946169853210449,6.076171875,0.0097995204851031,0.0269710924476385
baseline,12,56,12000098,191.2222420000944,5.946169853210449,6.076171875,0.001536792027764,0.0211918484419584
baseline,10,0,10000042,196.0003469999947,5.946732044219971,6.076171875,0.0008901302935555,0.0181659031659364
baseline,10,8,10000050,192.1095489999516,5.946732044219971,6.076171875,0.0003374635416548,0.0117170261219143
baseline,10,16,10000058,189.814532000014,5.946732044219971,6.076171875,0.0003085877106059,0.0105472533032298
baseline,10,24,10000066,191.43460999998752,5.946732044219971,6.076171875,0.0094125336036086,0.0266245249658823
baseline,10,32,10000074,193.47003900008983,5.946732044219971,6.076171875,0.000326216162648,0.0115612363442778
baseline,10,40,10000082,192.1395010000424,5.946732044219971,6.076171875,0.0002603764005471,0.0110529642552137
baseline,10,48,10000090,194.60847400000603,5.946732044219971,6.076171875,0.0004511663282755,0.0132317822426557
baseline,10,56,10000098,195.40713000003507,5.946732044219971,6.076171875,0.0001402964262524,0.0074343597516417
baseline,21,0,21000042,193.7475639999775,5.946732044219971,6.076171875,0.003500745864585,0.027327200397849
