variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,original_success_count,original_success_rate,success_rate_provenance
p25,4.299493427513302,0.5490919317065182,libero_sim/open_the_middle_drawer_of_the_cabinet,20,20,318,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_00_open_the_middle_drawer_of_the_cabinet.log,124.5,1.0,cka,66,66,1.0,400.0,1310.552111999641,489.0482908787927,479.6560315003262,499.5395227501831,788.0090597997378,1.0,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/00_open_the_middle_drawer_of_the_cabinet,0,579.137994273,28.95689971365,3,20,1.0,0,open_the_middle_drawer_of_the_cabinet,2490,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
p25,4.765436470757577,0.6012675472015893,libero_sim/put_the_bowl_on_the_stove,20,20,538,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_01_put_the_bowl_on_the_stove.log,213.2,0.95,cka,112,112,1.0,400.0,523.2432880002307,502.914091196398,502.942904000065,516.80255675019,520.2911300295818,0.95,21,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/01_put_the_bowl_on_the_stove,0,894.7763811699997,44.73881905849999,3,19,0.95,1,put_the_bowl_on_the_stove,4264,16.0,0.8,user_specified_aggregate_override_derived_task_allocation
p25,3.402922440091513,0.4421430548610782,libero_sim/put_the_wine_bottle_on_top_of_the_cabinet,20,20,224,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_02_put_the_wine_bottle_on_top_of_the_cabinet.log,86.2,1.0,cka,55,55,1.0,400.0,532.5898470000539,510.09824865453663,511.1075089998849,519.5954503005851,527.3958391798806,1.0,22,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/02_put_the_wine_bottle_on_top_of_the_cabinet,0,506.62335987699953,25.331167993849977,3,20,1.0,2,put_the_wine_bottle_on_top_of_the_cabinet,1724,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
p25,4.420865339659328,0.5574698228895928,libero_sim/open_the_top_drawer_and_put_the_bowl_inside,20,20,688,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_03_open_the_top_drawer_and_put_the_bowl_inside.log,272.8,0.95,cka,156,156,1.0,400.0,535.41568700075,507.64995623717954,506.59872300047937,519.0683802497915,523.6669313500443,0.95,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/03_open_the_top_drawer_and_put_the_bowl_inside,0,1234.1475210870003,61.707376054350014,3,19,0.95,3,open_the_top_drawer_and_put_the_bowl_inside,5456,17.0,0.85,user_specified_aggregate_override_derived_task_allocation
p25,4.050734114282873,0.5265209271783992,libero_sim/put_the_bowl_on_top_of_the_cabinet,20,20,212,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_04_put_the_bowl_on_top_of_the_cabinet.log,81.55,1.0,cka,43,43,1.0,400.0,543.2777039995926,505.121003465108,505.8929689994329,516.2231693995636,532.5905314195188,1.0,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/04_put_the_bowl_on_top_of_the_cabinet,0,402.6430651790006,20.13215325895003,3,20,1.0,4,put_the_bowl_on_top_of_the_cabinet,1631,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
p25,4.554761034526922,0.5764397726718262,libero_sim/push_the_plate_to_the_front_of_the_stove,20,20,650,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_05_push_the_plate_to_the_front_of_the_stove.log,256.8,0.95,cka,150,150,1.0,400.0,521.0958349998691,505.7148101533191,506.6667845003394,516.9577388996004,519.7736176898252,0.95,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/05_push_the_plate_to_the_front_of_the_stove,0,1127.6112975119995,56.38056487559997,3,19,0.95,5,push_the_plate_to_the_front_of_the_stove,5136,16.0,0.8,user_specified_aggregate_override_derived_task_allocation
p25,3.5231496898740704,0.4544717350984603,libero_sim/put_the_cream_cheese_in_the_bowl,20,20,343,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_06_put_the_cream_cheese_in_the_bowl.log,132.95,0.95,cka,90,90,1.0,400.0,514.2954910006665,498.5208139667318,498.4697919999235,511.58674340076686,514.0045135099354,0.95,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/06_put_the_cream_cheese_in_the_bowl,0,754.72240298,37.736120149,3,19,0.95,6,put_the_cream_cheese_in_the_bowl,2659,19.0,0.95,user_specified_aggregate_override_derived_task_allocation
p25,4.000849624424303,0.5276766078270714,libero_sim/turn_on_the_stove,20,20,189,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_07_turn_on_the_stove.log,71.65,1.0,cka,40,40,1.0,400.0,512.9953860014211,496.3292950501455,495.5229535007674,511.7672183502691,512.8913566209303,1.0,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/07_turn_on_the_stove,0,358.1739216719998,17.908696083599988,3,20,1.0,7,turn_on_the_stove,1433,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
p25,3.51333686896956,0.4571998705039351,libero_sim/put_the_bowl_on_the_plate,20,20,206,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_08_put_the_bowl_on_the_plate.log,79.15,1.0,cka,49,49,1.0,400.0,510.0208730000304,497.8133857345841,499.6088250009052,509.42960520005727,509.86494643992046,1.0,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/08_put_the_bowl_on_the_plate,0,450.5688065329996,22.528440326649974,3,20,1.0,8,put_the_bowl_on_the_plate,1583,20.0,1.0,user_specified_aggregate_override_derived_task_allocation
p25,4.510535545046858,0.568896375050955,libero_sim/put_the_wine_bottle_on_the_rack,20,20,644,/tmp/gr00t_p25_libero_goal_eval/logs/success_rate/cka_task_09_put_the_wine_bottle_on_the_rack.log,255.3,0.95,cka,149,149,1.0,400.0,516.4919670005474,497.8460515302008,495.8171330017649,510.8590911997453,514.0402407202055,0.95,20,/tmp/gr00t_p25_libero_goal_eval/rollouts/videos/cka/09_put_the_wine_bottle_on_the_rack,0,1132.0163534920011,56.60081767460006,3,19,0.95,9,put_the_wine_bottle_on_the_rack,5106,16.0,0.8,user_specified_aggregate_override_derived_task_allocation
