name,Params,Latency,VRAM,MSE,MAE,SR
Baseline,1.0,1.0,1.0,1.0,1.0,1.0
P25,0.851370608800973,0.8653964074492217,0.8515292953741985,5.486506847000621,2.2842891143942547,0.9798994974874372
P37,0.7768057770698368,0.8813651539066395,0.7778071253923339,8.57493157336183,3.03786880233025,0.9447236180904522
P50,0.7017406730754551,0.666662890677352,0.7029354269889484,13.853676588973423,4.299441154405383,0.8341708542713567
