variant,display_name,reference_id,role,step,parameter_count,trainable_parameter_count,model_load_seconds,latency_mean_ms,latency_median_ms,latency_p95_ms,peak_allocated_gib,peak_reserved_gib,mse,mae,successes,episodes_requested,episodes_returned,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_deadline_ms,policy_rpc_deadline_miss_rate,language_kept,language_pruned,action_dit_kept,action_dit_pruned,vlsa_kept,vlsa_pruned,parameter_count_change_percent_vs_baseline,latency_mean_ms_change_percent_vs_baseline,latency_p95_ms_change_percent_vs_baseline,peak_allocated_gib_change_percent_vs_baseline,mse_change_percent_vs_baseline,mae_change_percent_vs_baseline,success_rate_exact_requested_change_percent_vs_baseline,policy_rpc_weighted_mean_ms_change_percent_vs_baseline,parameter_reduction_percent_vs_baseline,latency_speedup_vs_baseline,success_rate_delta_points_vs_baseline,mse_ratio_vs_baseline,mae_ratio_vs_baseline
baseline,Baseline,gr00t-n1.7-libero-goal-baseline-no-pruning,immutable no-pruning baseline metric reference for paired LIBERO Goal CKA comparisons,,3144016000,1620515968,68.47789756999998,192.57755817500595,191.92556349997855,196.7557528999464,5.946732044219971,6.076171875,0.0006442457670345902,0.011211122386157513,199,200,200,0.995,0.9949999999999999,0.995,509.084208105095,562.8382234000128,400.0,1.0,16,,32,,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
p25,P25,gr00t-n1.7-libero-goal-cka-p25-lora-r16-step3000-seed42,derived P25 metric reference with an explicit user-specified success-rate override,3000.0,2676722816,1153129600,59.34191232400008,166.65592699999365,164.8982579999938,174.56517720008833,5.063816547393799,5.216796875,0.0035346588119864464,0.02560944482684135,195,200,200,0.975,0.975,0.975,501.89203249560455,519.5954503005851,400.0,1.0,12,4.0,24,8.0,4,,-14.862939119902697,-13.460359255077826,-11.278234751866368,-14.847070462580147,448.65068470006213,128.42891143942546,-2.010050251256279,-1.412767376199131,14.862939119902697,1.1555398097243388,-2.0000000000000018,5.486506847000621,2.2842891143942547
p37,P37,gr00t-n1.7-libero-goal-cka-p37-lora-r16-step3000-seed42,immutable CKA P37 candidate metric reference for future paired comparisons,3000.0,2442289792,1019368576,19.46360334899873,169.73114919987893,168.81800500050304,179.43985109968708,4.625410556793213,4.7578125,0.0055243633687496185,0.034057918936014175,188,200,200,0.94,0.9400000000000001,0.94,499.21875898378465,513.2710036994467,400.0,1.0,10,6.0,20,12.0,4,,-22.319422293016324,-11.86348460933605,-8.800709277895802,-22.219287460766612,757.493157336183,203.786880233025,-5.527638190954775,-1.937881585058665,22.319422293016324,1.13460351316082,-5.500000000000005,8.57493157336183,3.03786880233025
p50,P50,gr00t-n1.7-libero-goal-cka-p50-lora-r16-step3000-seed42,immutable CKA P50 candidate metric reference for future paired comparisons,3000.0,2206283904,884034688,43.62102105300073,128.38431161253538,127.36742150082137,135.87981064947598,4.180168628692627,4.318359375,0.008925172500312328,0.048201560974121094,166,200,200,0.83,0.8300000000000001,0.83,456.3000870656339,466.42517394993774,400.0,1.0,8,8.0,16,16.0,4,,-29.825932692454494,-33.33371093226481,-30.939853779740233,-29.70645730110516,1285.3676588973424,329.9441154405383,-16.582914572864325,-10.368445966126771,29.825932692454494,1.5000084960240794,-16.500000000000004,13.853676588973423,4.299441154405383
