metric,baseline,cka,change_percent
parameter_count,3144016000,2439144064,-22.419476745665413
training_runtime_seconds,13159.508024930954,9902.129127264023,-24.753044654068834
latency_mean_ms,200.9923732126481,151.86175556273156,-24.444020867367332
latency_median_ms,200.07278299999598,151.09180150011525,-24.481581535196472
latency_p95_ms,210.69814450111153,156.47058834993004,-25.73708291526764
peak_allocated_gib,5.9487714767456055,4.620476722717285,-22.32889192702676
peak_reserved_gib,6.0390625,4.71875,-21.862871927554984
mse,0.00033574303961358964,0.0027562116738408804,720.9289095056251
mae,0.007414569146931171,0.022598037496209145,204.7788354035687
