trajectory_id,step,seed,baseline_latency_ms,cka_p37_latency_ms,delta_latency_ms,baseline_peak_allocated_gib,cka_p37_peak_allocated_gib,delta_peak_allocated_gib,baseline_peak_reserved_gib,cka_p37_peak_reserved_gib,delta_peak_reserved_gib,baseline_mse,cka_p37_mse,delta_mse,baseline_mae,cka_p37_mae,delta_mae
2,0,2000042,201.10427899999195,152.3769129998982,-48.72736600009375,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,6.153767753858119e-05,0.0001610908511793241,9.95531736407429e-05,0.004522223025560379,0.008402192033827305,0.003879969008266926
2,8,2000050,198.2993229976273,155.63051699973585,-42.66880599789147,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,3.826272222795524e-05,0.00046493997797369957,0.00042667725574574433,0.0037939976900815964,0.012414427474141121,0.008620429784059525
2,16,2000058,197.7339659970312,148.80529299989576,-48.928672997135436,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00015056795382406563,0.0008015665807761252,0.0006509986269520596,0.006543148774653673,0.01754849962890148,0.011005350854247808
2,24,2000066,197.08601900128997,150.42840899877774,-46.65761000251223,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,8.621978486189619e-05,0.00039383044349960983,0.00030761065863771364,0.005934275221079588,0.011933647096157074,0.005999371875077486
2,32,2000074,203.55165999717428,149.34352599993872,-54.208133997235564,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,5.8110392274102196e-05,0.000290845287963748,0.00023273489568964578,0.0044966754503548145,0.009481937624514103,0.004985262174159288
2,40,2000082,203.24819400048,150.7078079994244,-52.540386001055595,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,5.289290493237786e-05,0.003968742676079273,0.003915849771146895,0.004399719648063183,0.029329365119338036,0.024929645471274853
2,48,2000090,206.11559999815654,148.38941400012118,-57.72618599803536,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,6.843792652944103e-05,0.007537887431681156,0.007469449505151715,0.004727666266262531,0.021324221044778824,0.016596554778516293
2,56,2000098,204.33399000103236,152.8523380002298,-51.48165200080257,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00023425216204486787,0.0032374518923461437,0.003003199730301276,0.006846294738352299,0.029019424691796303,0.022173129953444004
5,0,5000042,194.39824400251382,149.10630000122183,-45.291944001291995,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,0.00018863317382056266,0.0010786004131659865,0.0008899672393454239,0.008838922716677189,0.02360939048230648,0.014770467765629292
5,8,5000050,195.92845300212502,149.6588090012665,-46.269644000858534,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,9.14458796614781e-05,0.0004712582740467042,0.00037981239438522607,0.005958370864391327,0.013985625468194485,0.008027254603803158
5,16,5000058,193.4861380032089,154.26398000090558,-39.22215800230333,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,5.340654024621472e-05,0.0006641614018008113,0.0006107548615545966,0.00410490483045578,0.015599578619003296,0.011494673788547516
5,24,5000066,200.05071999912616,152.07338300024276,-47.9773369988834,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,0.0001372734404867515,0.00046239953371696174,0.00032512609323021024,0.0067605795338749886,0.013051931746304035,0.006291352212429047
5,32,5000074,200.0948460008658,151.10669299974688,-48.98815300111892,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,0.00014100577391218394,0.0003690980956889689,0.00022809232177678496,0.007340491283684969,0.012245380319654942,0.004904889035969973
5,40,5000082,195.28206500035594,153.65203799956362,-41.630027000792325,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,4.8840392992133275e-05,0.009338414296507835,0.009289573903515702,0.003986292984336615,0.02157832495868206,0.017592031974345446
5,48,5000090,192.023783998593,151.03390900003433,-40.98987499855866,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,7.872586138546467e-05,0.009921304881572723,0.009842579020187259,0.004995137918740511,0.03154360130429268,0.026548463385552168
5,56,5000098,194.83148099971004,147.78332900095847,-47.048151998751564,5.9487714767456055,4.620476722717285,-1.3282947540283203,6.0390625,4.71875,-1.3203125,7.677516987314448e-05,0.0014861396048218012,0.0014093644349486567,0.005105058196932077,0.020262213423848152,0.015157155226916075
10,0,10000042,195.6298750010319,146.17082699987805,-49.45904800115386,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.0006128723616711795,0.0010996765922755003,0.00048680423060432076,0.015377966687083244,0.020787958055734634,0.00540999136865139
10,8,10000050,197.21063500037417,153.9773080003215,-43.23332700005267,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.0004176048969384283,0.0012926558265462518,0.0008750509296078235,0.010439774952828884,0.023627808317542076,0.013188033364713192
10,16,10000058,201.08859200263396,149.19872900100017,-51.889863001633785,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00017158887931145728,0.004583952482789755,0.004412363603478298,0.00658215070143342,0.04608188197016716,0.03949973126873374
10,24,10000066,194.3388949985092,149.32281500114186,-45.01607999736734,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.0001000736519927159,0.0009947404032573104,0.0008946667512645945,0.005634027067571878,0.01573403924703598,0.010100012179464102
10,32,10000074,194.51260899950285,148.71407700047712,-45.79853199902573,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,7.262525468831882e-05,0.0007741505396552384,0.0007015252849669196,0.00507707241922617,0.016764918342232704,0.011687845923006535
10,40,10000082,194.95616199856158,148.21447300164436,-46.74168899691722,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00022100158093962818,0.0009514825069345534,0.0007304809259949252,0.009497642517089844,0.018831146880984306,0.009333504363894463
10,48,10000090,195.79900700045982,149.4214570011536,-46.37754999930621,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00018551024550106376,0.0009157323511317372,0.0007302221056306735,0.008882815018296242,0.01860739476978779,0.009724579751491547
10,56,10000098,201.3769350014627,151.07691000048362,-50.300025000979076,5.947144985198975,4.618941783905029,-1.3282032012939453,6.0390625,4.71875,-1.3203125,0.00024732964811846614,0.0008935324149206281,0.0006462027668021619,0.00904578622430563,0.016354594379663467,0.007308808155357838
11,0,11000042,200.95013600075617,148.49376900019706,-52.45636700055911,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0008327568066306412,0.010059922002255917,0.009227165195625275,0.0158203337341547,0.05586005002260208,0.04003971628844738
11,8,11000050,194.7552759993414,149.5364710008289,-45.218804998512496,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001912896113935858,0.0034653358161449432,0.0032740462047513574,0.007843146100640297,0.030535580590367317,0.02269243448972702
11,16,11000058,192.84102600067854,149.47766899967974,-43.3633570009988,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00014604914758820087,0.0004988721339032054,0.00035282298631500453,0.007123879157006741,0.013219757005572319,0.0060958778485655785
11,24,11000066,195.9691699994437,149.92817299935268,-46.04099700009101,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001088540957425721,0.005114824511110783,0.0050059704153682105,0.00635064672678709,0.04678020253777504,0.04042955581098795
11,32,11000074,196.56098800260224,149.66940799968143,-46.89158000292082,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00011416657798690721,0.0015861464198678732,0.001471979841880966,0.0062814089469611645,0.023237895220518112,0.016956486273556948
11,40,11000082,207.99513000019942,149.16704800089065,-58.82808199930878,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001503348321421072,0.0004107121203560382,0.000260377288213931,0.007640639785677195,0.012322216294705868,0.004681576509028673
11,48,11000090,228.1035369996971,150.6136799998785,-77.48985699981858,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00015611291746608913,0.0005346356774680316,0.0003785227600019425,0.006263736169785261,0.014424415305256844,0.008160679135471582
11,56,11000098,196.09151600161567,149.19867600110592,-46.89284000050975,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00019167616846971214,0.010912904515862465,0.010721228347392753,0.00703095318749547,0.03307997062802315,0.026049017440527678
15,0,15000042,192.6988049999636,149.4582140003331,-43.24059099963051,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0009635653696022928,0.009907537139952183,0.00894397177034989,0.01769966445863247,0.054264795035123825,0.036565130576491356
15,8,15000050,196.24832699992112,155.80200899967167,-40.44631800024945,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0005559267592616379,0.0010755426483228803,0.0005196158890612423,0.01062358170747757,0.01836930774152279,0.007745726034045219
15,16,15000058,194.04533700071624,152.61623600054008,-41.42910100017616,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001273402594961226,0.0010460581397637725,0.0009187178802676499,0.006650373339653015,0.019303057342767715,0.0126526840031147
15,24,15000066,217.20736299903365,145.93734899972333,-71.27001399931032,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,9.937832510331646e-05,0.0007211487973108888,0.0006217704722075723,0.0055374810472130775,0.015894116833806038,0.01035663578659296
15,32,15000074,223.33122399868444,148.19084699956875,-75.14037699911569,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.011352294124662876,0.002373429713770747,-0.008978864410892129,0.032271500676870346,0.023503154516220093,-0.008768346160650253
15,40,15000082,198.85323899870855,173.22784300085914,-25.62539599784941,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00011491401528473943,0.0016517668263986707,0.0015368528111139312,0.006094824522733688,0.023306529968976974,0.017211705446243286
15,48,15000090,202.05429500128957,148.71742099967378,-53.3368740016158,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,8.211589010898024e-05,0.0004919227212667465,0.0004098068311577663,0.004861246794462204,0.011684871278703213,0.006823624484241009
15,56,15000098,196.28577299954486,176.5367009993497,-19.749072000195156,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,8.016290667001158e-05,0.0006220802315510809,0.0005419173248810694,0.0050707110203802586,0.014894449152052402,0.009823738131672144
19,0,19000042,209.98943700033124,151.17890000146872,-58.81053699886252,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.0001181052575702779,0.000613325391896069,0.0004952201343257912,0.006807385943830013,0.015207484364509583,0.00840009842067957
19,8,19000050,210.34178999980213,152.3002110006928,-58.04157899910933,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,5.7812780141830444e-05,0.00026613022782839835,0.0002083174476865679,0.004221503622829914,0.0103631392121315,0.006141635589301586
19,16,19000058,205.169216998911,149.8664339997049,-55.3027829992061,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00011493626516312361,0.0004173416527919471,0.0003024053876288235,0.005812893155962229,0.013572479598224163,0.007759586442261934
19,24,19000066,202.5365219997184,149.5311099988612,-53.00541200085718,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,6.903090979903936e-05,0.003660811809822917,0.0035917809000238776,0.005249137990176678,0.03995509818196297,0.03470596019178629
19,32,19000074,198.26911800191738,153.85004400013713,-44.419074001780245,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,3.6232751881470904e-05,0.0003513856208883226,0.0003151528690068517,0.003834302304312587,0.012244588695466518,0.008410286391153932
19,40,19000082,201.55565999812097,151.18427100060217,-50.37138899751881,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00010433826537337154,0.0007978777284733951,0.0006935394631000236,0.006128999870270491,0.016382474452257156,0.010253474581986666
19,48,19000090,201.75090699922293,148.1348440011061,-53.61606299811683,5.94755744934082,4.6193084716796875,-1.3282489776611328,6.0390625,4.71875,-1.3203125,0.00012859112757723778,0.0012086456408724189,0.001080054513295181,0.006204438861459494,0.019162042066454887,0.012957603204995394
