model,measurement_scope,latency_mean_ms,latency_median_ms,latency_p95_ms,control_frequency_hz_assumption,executed_action_steps_per_query,single_control_step_budget_ms,action_chunk_budget_ms,p95_deadline_headroom_ms,p95_budget_utilization,p95_action_chunk_realtime_feasible,mean_max_policy_queries_per_second,source_summary,interpretation
baseline,model_only_policy_inference,200.9923732126481,200.07278299999598,210.69814450111153,20.0,8,50.0,400.0,189.30185549888847,0.5267453612527788,True,4.975313162465171,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/eval_baseline/summary.json,P95 fits inside the assumed 8-step action-chunk execution window.
cka,model_only_policy_inference,169.30980268753046,168.350380999982,174.28355679985543,20.0,8,50.0,400.0,225.71644320014457,0.4357088919996386,True,5.906332557988677,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/eval_cka/summary.json,P95 fits inside the assumed 8-step action-chunk execution window.
