control_realtime_feasible_at_assumed_frequency,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,episodes_requested,episodes_returned,mean_wall_seconds_per_episode,model,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_query_count,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_worst_task_p99_ms,rollout_wall_seconds,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,successes,tasks
False,6.00894182291482,0.7678034120020889,200,200,23.860274275454977,baseline,797,1.0,400.0,797,530.9613760702902,551.2516526010586,582.4839158813085,4772.054855090995,0.99,0.99,0.99,198,10
False,5.977142216458453,0.7624681155802651,200,200,24.02067657092997,cka,818,1.0,400.0,818,447.09037075545723,465.3841547495176,504.07407095982876,4804.1353141859945,0.995,0.9949999999999999,0.995,199,10
