env_name,model,outcome,selected_path,size_bytes,source,task_index,video_index
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_cka_success_01.mp4,283394,/tmp/gr00t_p37_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket/82b18103-0ef7-4b2b-8399-db92cb813955_s1.mp4,4,1
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_cka_success_02.mp4,305110,/tmp/gr00t_p37_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket/38789fb2-c5ec-4f11-ad2b-254b6e9255b1_s1.mp4,4,2
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_cka_success_03.mp4,315419,/tmp/gr00t_p37_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket/30434536-1277-41b8-ba95-7011ffc8cb09_s1.mp4,4,3
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_cka_success_01.mp4,280590,/tmp/gr00t_p37_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/99a13953-11a8-4811-a476-9976a7d2c826_s1.mp4,5,1
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_cka_success_02.mp4,301404,/tmp/gr00t_p37_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/8189f955-a454-4b45-a22f-9eda9914d88b_s1.mp4,5,2
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_cka_success_03.mp4,319199,/tmp/gr00t_p37_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/5e7df9ba-73e8-4fcf-b48c-aebad0d764a5_s1.mp4,5,3
libero_sim/pick_up_the_butter_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/06_pick_up_the_butter_and_place_it_in_the_basket/video_pick_up_the_butter_and_place_it_in_the_basket_cka_success_01.mp4,305316,/tmp/gr00t_p37_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket/30954f5b-8dd3-480c-90a4-8bf2becdaee7_s1.mp4,6,1
libero_sim/pick_up_the_butter_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/06_pick_up_the_butter_and_place_it_in_the_basket/video_pick_up_the_butter_and_place_it_in_the_basket_cka_success_02.mp4,312001,/tmp/gr00t_p37_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket/7dcba574-e062-4e37-92f9-4ca57a846a43_s1.mp4,6,2
libero_sim/pick_up_the_butter_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/06_pick_up_the_butter_and_place_it_in_the_basket/video_pick_up_the_butter_and_place_it_in_the_basket_cka_success_03.mp4,319052,/tmp/gr00t_p37_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket/9e879749-91e1-49da-8ff3-74751239709b_s1.mp4,6,3
libero_sim/pick_up_the_milk_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/07_pick_up_the_milk_and_place_it_in_the_basket/video_pick_up_the_milk_and_place_it_in_the_basket_cka_success_01.mp4,284518,/tmp/gr00t_p37_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket/70dc40cc-6bbe-4580-87b1-02bd278c8fc2_s1.mp4,7,1
libero_sim/pick_up_the_milk_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/07_pick_up_the_milk_and_place_it_in_the_basket/video_pick_up_the_milk_and_place_it_in_the_basket_cka_success_02.mp4,287888,/tmp/gr00t_p37_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket/80884d86-e5d8-4024-ab3f-42e3320e2d69_s1.mp4,7,2
libero_sim/pick_up_the_milk_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/07_pick_up_the_milk_and_place_it_in_the_basket/video_pick_up_the_milk_and_place_it_in_the_basket_cka_success_03.mp4,297642,/tmp/gr00t_p37_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket/01f7bd62-caab-4b6e-8f3e-7ade03814720_s1.mp4,7,3
libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,cka,fail,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/video_pick_up_the_chocolate_pudding_and_place_it_in_the_basket_cka_fail_01.mp4,1048374,/tmp/gr00t_p37_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/9575d94f-3277-4b84-9edf-fc6d5e335fa0_s0.mp4,8,1
libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/video_pick_up_the_chocolate_pudding_and_place_it_in_the_basket_cka_success_02.mp4,285456,/tmp/gr00t_p37_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/9477b3da-10b4-4707-a136-565fad3decf2_s1.mp4,8,2
libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/video_pick_up_the_chocolate_pudding_and_place_it_in_the_basket_cka_success_03.mp4,323095,/tmp/gr00t_p37_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket/6dc09edd-4f47-4a12-96f3-860d31bc3d05_s1.mp4,8,3
libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/09_pick_up_the_orange_juice_and_place_it_in_the_basket/video_pick_up_the_orange_juice_and_place_it_in_the_basket_cka_success_01.mp4,252390,/tmp/gr00t_p37_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket/a629a5c0-c840-4510-ae90-54f581e31df0_s1.mp4,9,1
libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/09_pick_up_the_orange_juice_and_place_it_in_the_basket/video_pick_up_the_orange_juice_and_place_it_in_the_basket_cka_success_02.mp4,261203,/tmp/gr00t_p37_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket/cb039910-dabe-4e9b-975f-25efba39c660_s1.mp4,9,2
libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,cka,success,/kaggle/working/gr00t_n1d7_libero_object_cka_p37_lora_r16_3k/selected_videos/09_pick_up_the_orange_juice_and_place_it_in_the_basket/video_pick_up_the_orange_juice_and_place_it_in_the_basket_cka_success_03.mp4,262943,/tmp/gr00t_p37_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket/4bf1b844-7207-4c22-aa50-88b181a1e064_s1.mp4,9,3
