end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps
6.08784080621484,0.7779746935981743,libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,20,20,412,/tmp/gr00t_final_eval/logs/success_rate/cka_task_00_pick_up_the_alphabet_soup_and_place_it_in_the_basket.log,161.2,1.0,cka,90,90,1.0,400.0,1050.9962260002794,478.7895406445589,473.3920455000771,487.94529375172715,565.8378320091284,1.0,21,/tmp/gr00t_final_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,529.580207930001,26.47901039650005,3,20,1.0,0,alphabet_soup,3224
6.136680085933263,0.7868063949911095,libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,20,20,384,/tmp/gr00t_final_eval/logs/success_rate/cka_task_01_pick_up_the_cream_cheese_and_place_it_in_the_basket.log,149.75,1.0,cka,83,83,1.0,400.0,494.82813000213355,473.8685281089306,471.7734620026022,492.4847595004394,493.85409217808046,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket,0,488.04890560700005,24.40244528035,3,20,1.0,1,cream_cheese,2995
5.473118455061013,0.7018469548254711,libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,20,20,327,/tmp/gr00t_final_eval/logs/success_rate/cka_task_02_pick_up_the_salad_dressing_and_place_it_in_the_basket.log,127.5,1.0,cka,76,76,1.0,400.0,496.1999080005626,473.73173860519034,474.14705800110823,491.60549600128434,494.5381412499046,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket,0,465.9135410529998,23.29567705264999,3,20,1.0,2,salad_dressing,2550
5.515192792172892,0.7002273571214273,libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,20,20,388,/tmp/gr00t_final_eval/logs/success_rate/cka_task_03_pick_up_the_bbq_sauce_and_place_it_in_the_basket.log,152.8,1.0,cka,98,98,1.0,400.0,493.8100619983743,474.16416260228067,473.92096600015066,491.99425150036404,493.14491747780266,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,554.1057430190012,27.705287150950063,3,20,1.0,3,bbq_sauce,3056
6.616812450606854,0.8434618068905442,libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,20,20,348,/tmp/gr00t_final_eval/logs/success_rate/cka_task_04_pick_up_the_ketchup_and_place_it_in_the_basket.log,136.5,1.0,cka,71,71,1.0,400.0,502.8300390004006,476.3904573944312,477.9086179987644,495.0908855007583,500.14988249968155,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket,0,412.58536801199807,20.629268400599905,3,20,1.0,4,ketchup,2730
5.883909887632362,0.7540672032812649,libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,20,20,345,/tmp/gr00t_final_eval/logs/success_rate/cka_task_05_pick_up_the_tomato_sauce_and_place_it_in_the_basket.log,134.6,1.0,cka,73,73,1.0,400.0,498.7768920000235,475.2026489862159,473.5465009980544,493.6194318011985,497.067470880429,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,457.51890348600136,22.875945174300067,3,20,1.0,5,tomato_sauce,2692
6.304564641244275,0.7982566678441709,libero_sim/pick_up_the_butter_and_place_it_in_the_basket,20,20,480,/tmp/gr00t_final_eval/logs/success_rate/cka_task_06_pick_up_the_butter_and_place_it_in_the_basket.log,189.55,0.95,cka,102,102,1.0,400.0,522.5700759983738,473.4344767355865,473.52834950106626,491.7978765017324,502.4969308697836,0.95,20,/tmp/gr00t_final_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket,0,601.3103545960003,30.065517729800014,3,19,0.95,6,butter,3791
6.321820902470869,0.814097763275263,libero_sim/pick_up_the_milk_and_place_it_in_the_basket,20,20,324,/tmp/gr00t_final_eval/logs/success_rate/cka_task_07_pick_up_the_milk_and_place_it_in_the_basket.log,125.8,1.0,cka,65,65,1.0,400.0,495.3754900016065,472.46621784646635,470.8298250006919,490.6988425995223,493.63696456115576,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket,0,397.98659892700016,19.899329946350008,3,20,1.0,7,milk,2516
6.28845300237069,0.7976940719696333,libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,20,20,377,/tmp/gr00t_final_eval/logs/success_rate/cka_task_08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket.log,148.6,1.0,cka,80,80,1.0,400.0,493.60847599746194,473.64055376237957,471.9403314975352,489.58355570212007,492.6714814909428,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,472.61226232899935,23.630613116449968,3,20,1.0,8,chocolate_pudding,2972
6.0066539269688075,0.7693486732235306,libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,20,20,322,/tmp/gr00t_final_eval/logs/success_rate/cka_task_09_pick_up_the_orange_juice_and_place_it_in_the_basket.log,125.7,1.0,cka,70,70,1.0,400.0,500.2762129988696,473.565008971283,472.3535940011061,491.75699049974355,494.8813755504307,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket,0,418.5358488380007,20.926792441900034,3,20,1.0,9,orange_juice,2514
