metric,baseline,cka,change_percent
parameter_count,3144016000.0,2675149952.0,-14.912966346227247
training_runtime_seconds,13159.508024930954,11586.780105829239,-11.951266841603427
latency_mean_ms,200.9923732126481,169.30980268753046,-15.763071015434877
latency_median_ms,200.07278299999598,168.350380999982,-15.85543097084555
latency_p95_ms,210.69814450111153,174.28355679985543,-17.282823153226197
peak_allocated_gib,5.9487714767456055,5.062834739685059,-14.892768036623528
peak_reserved_gib,6.0390625,5.177734375,-14.262613195342821
mse,0.00033574303961358964,0.001262394362129271,276.0001588066203
mae,0.007414569146931171,0.01364139374345541,83.98093635827065
