control_realtime_feasible_at_assumed_frequency,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,episodes_requested,episodes_returned,mean_wall_seconds_per_episode,model,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_query_count,policy_rpc_weighted_mean_ms,policy_rpc_worst_task_p95_ms,policy_rpc_worst_task_p99_ms,rollout_wall_seconds,success_rate_exact_requested,success_rate_mean_per_task,success_rate_weighted_by_returned,successes,tasks
False,6.00894182291482,0.7678034120020889,200,200,23.860274275454977,baseline,797,1.0,400.0,797,530.9613760702902,551.2516526010586,582.4839158813085,4772.054855090995,0.99,0.99,0.99,198,10
False,6.052272459605267,0.7725817495783996,200,200,23.99098866898501,cka,808,1.0,400.0,808,474.56531946423047,495.0908855007583,565.8378320091284,4798.197733797002,0.995,0.9949999999999999,0.995,199,10
