env_name,model,outcome,selected_path,size_bytes,source,task_index,video_index
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_baseline_success_01.mp4,306165,/tmp/gr00t_final_eval/rollouts/videos/baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/868d5ce7-1bcc-40b2-b663-983ccda0590c_s1.mp4,0,1
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_baseline_success_02.mp4,299747,/tmp/gr00t_final_eval/rollouts/videos/baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/9b763b89-2431-4f49-a65e-7b271d6bf766_s1.mp4,0,2
libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/video_pick_up_the_alphabet_soup_and_place_it_in_the_basket_baseline_success_03.mp4,305944,/tmp/gr00t_final_eval/rollouts/videos/baseline/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket/7e50120c-5cd2-49eb-a13a-7e8d15f0ed86_s1.mp4,0,3
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_baseline_success_01.mp4,333672,/tmp/gr00t_final_eval/rollouts/videos/baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/a5115192-ae72-4bf7-9fd8-b3e62ba85eb0_s1.mp4,1,1
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_baseline_success_02.mp4,325845,/tmp/gr00t_final_eval/rollouts/videos/baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/2f7aa2bb-6c37-4a95-b47e-5da2f7593f90_s1.mp4,1,2
libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/video_pick_up_the_cream_cheese_and_place_it_in_the_basket_baseline_success_03.mp4,336584,/tmp/gr00t_final_eval/rollouts/videos/baseline/01_pick_up_the_cream_cheese_and_place_it_in_the_basket/48519d74-7387-426f-b11b-6b4f2ce096b2_s1.mp4,1,3
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_baseline_success_01.mp4,271534,/tmp/gr00t_final_eval/rollouts/videos/baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/a671cbc1-b4ea-4fd2-af9d-56f0aef7ea96_s1.mp4,2,1
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_baseline_success_02.mp4,270770,/tmp/gr00t_final_eval/rollouts/videos/baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/9203acc5-a231-4c20-b703-adaa7bbf8beb_s1.mp4,2,2
libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/video_pick_up_the_salad_dressing_and_place_it_in_the_basket_baseline_success_03.mp4,275517,/tmp/gr00t_final_eval/rollouts/videos/baseline/02_pick_up_the_salad_dressing_and_place_it_in_the_basket/182fb3ab-b3eb-4365-bed2-f2a7122c2966_s1.mp4,2,3
libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/video_pick_up_the_bbq_sauce_and_place_it_in_the_basket_baseline_success_01.mp4,298212,/tmp/gr00t_final_eval/rollouts/videos/baseline/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/1d4be792-3a06-47fc-9259-2c799599767c_s1.mp4,3,1
libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/video_pick_up_the_bbq_sauce_and_place_it_in_the_basket_baseline_success_02.mp4,307210,/tmp/gr00t_final_eval/rollouts/videos/baseline/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/11828515-235c-4533-bf55-40a9f1e896e2_s1.mp4,3,2
libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/video_pick_up_the_bbq_sauce_and_place_it_in_the_basket_baseline_success_03.mp4,333593,/tmp/gr00t_final_eval/rollouts/videos/baseline/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket/4e9c1f2e-2f23-4168-a379-9699ec8c1477_s1.mp4,3,3
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_baseline_success_01.mp4,274725,/tmp/gr00t_final_eval/rollouts/videos/baseline/04_pick_up_the_ketchup_and_place_it_in_the_basket/05290d6e-0a37-4e1b-816c-225b91c3a467_s1.mp4,4,1
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_baseline_success_02.mp4,275088,/tmp/gr00t_final_eval/rollouts/videos/baseline/04_pick_up_the_ketchup_and_place_it_in_the_basket/da8e2284-7572-41ea-9de8-bc669c9a3b20_s1.mp4,4,2
libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/04_pick_up_the_ketchup_and_place_it_in_the_basket/video_pick_up_the_ketchup_and_place_it_in_the_basket_baseline_success_03.mp4,277596,/tmp/gr00t_final_eval/rollouts/videos/baseline/04_pick_up_the_ketchup_and_place_it_in_the_basket/cdf88772-6eb2-427a-945c-62e04bca10e4_s1.mp4,4,3
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_baseline_success_01.mp4,302212,/tmp/gr00t_final_eval/rollouts/videos/baseline/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/ec224f15-7e83-41a7-920c-5af66474bf9b_s1.mp4,5,1
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_baseline_success_02.mp4,301473,/tmp/gr00t_final_eval/rollouts/videos/baseline/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/48806c78-a531-4110-82e3-215280c8090d_s1.mp4,5,2
libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,baseline,success,/kaggle/working/gr00t_n1d7_libero_object_cka_lora_r16_3k/selected_videos/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/video_pick_up_the_tomato_sauce_and_place_it_in_the_basket_baseline_success_03.mp4,295371,/tmp/gr00t_final_eval/rollouts/videos/baseline/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket/a123061e-67da-4c87-8576-cf83e1900149_s1.mp4,5,3
